"","stratum.id","LE_white_lcl","LE_white","LE_white_ucl","LE_black_lcl","LE_black","LE_black_ucl","LE_wbgap_lcl","LE_wbgap","LE_wbgap_ucl"
"160","Arizona.2003.Male",75.2437335162366,75.3856689052634,75.5253456848519,71.6687206187015,72.2309478210322,72.7856739777957,2.60087441050398,3.15340956994706,3.73499688743566
"161","Arizona.2004.Female",80.9023353358758,81.0337190896052,81.1658015710236,77.3129278285555,77.8885315826296,78.4363727921299,2.57741208780891,3.14990258373419,3.72822359215921
"162","Arizona.2004.Male",75.4478077100376,75.5924363381812,75.7422607967378,72.0905258367526,72.6642013243374,73.2059320628163,2.39481363343873,2.93380843276238,3.50774600617946
"163","Arizona.2005.Female",80.8379931961657,80.9630715939892,81.0839921363665,77.6446492108495,78.1681587744299,78.7267767146171,2.20899849168471,2.78965449840785,3.33496702562564
"164","Arizona.2005.Male",75.4912591778753,75.6249520962227,75.7610440541628,72.4045595570599,73.005554595159,73.5279215045001,2.09139593177893,2.63202740955522,3.22485132536181
"165","Arizona.2006.Female",81.0267723440442,81.15624101808,81.2760744012577,77.8636345144352,78.3995193982763,78.9697166383779,2.18578554970026,2.75260359171916,3.29100800368384
"166","Arizona.2006.Male",75.8323554720004,75.9577230121022,76.1018443997266,72.6089586751737,73.152188807659,73.6942512751541,2.25428635509682,2.80526277292794,3.36060495376378
"167","Arizona.2007.Female",81.4593444719666,81.5871373665848,81.7165459566079,78.0399076580809,78.5314709194466,79.0560901094193,2.51981968624792,3.0621011700236,3.56000758675217
"168","Arizona.2007.Male",76.2957247065016,76.4368951716537,76.5755407942757,73.0326701062779,73.5813716105638,74.1532454490677,2.26054476375156,2.86210687198262,3.42556014533617
"169","Arizona.2008.Female",81.8103548806886,81.9428277116156,82.0688799390881,78.2568307783007,78.7790902675592,79.356374049555,2.57269716136662,3.16442360604938,3.7062168254143
"170","Arizona.2008.Male",76.6978172462741,76.8330575739461,76.977755180548,73.4392384173294,73.9886503743825,74.5607544140195,2.24825729284891,2.83908700432964,3.4096595631845
"171","Arizona.2009.Female",82.1739876527512,82.3132939591869,82.4482902301044,78.3681843403857,78.8929992511056,79.4602841572538,2.85059260743922,3.42255311541231,3.92078225864777
"172","Arizona.2009.Male",77.1385502967122,77.2754485878069,77.4135154278756,73.8659337496494,74.4024168166881,74.9882395301579,2.26127950966337,2.87257213842255,3.41526326983363
"173","Arizona.2010.Female",82.2867525114639,82.4238908554793,82.5648945766586,78.6388184592963,79.142102777895,79.6990816979359,2.70791333977563,3.29069740586665,3.81093118753907
"174","Arizona.2010.Male",77.3093784824293,77.4430921357372,77.5759557784478,74.1153695972466,74.6469466781655,75.2326212814913,2.19861877279644,2.79939829419391,3.3373363079385
"175","Arizona.2011.Female",82.1966363829199,82.3327670410338,82.4621594787971,78.6039224981713,79.1468215087422,79.7147681847084,2.6113340892419,3.18536073438951,3.73864149170573
"176","Arizona.2011.Male",77.3782497297023,77.5076340606807,77.6457588726662,74.2647068092744,74.8168726819369,75.3886639787014,2.1227092076312,2.6805475378633,3.26551700919563
"177","Arizona.2012.Female",82.4177171134741,82.5487806791957,82.6826212103769,78.5178383163193,79.0652169611939,79.6534151369671,2.87837255068095,3.48571786262952,4.08781246882065
"178","Arizona.2012.Male",77.4466836362052,77.5837553619074,77.723443139087,74.3653003147566,74.9534701372937,75.5538791788453,2.01361461779007,2.62932741199915,3.20790861044174
"179","Arizona.2013.Female",82.4589441778873,82.6082002365064,82.754647150032,78.3973322476485,79.0496825300693,79.7063443265733,2.92546391368783,3.5618376426467,4.23302098166719
"180","Arizona.2013.Male",77.6446445520355,77.8121894782723,77.954487250356,74.204596734668,74.8916183528517,75.5608053963181,2.22499071231099,2.92803063400154,3.61896570594735
"181","Arkansas.1969.Female",76.3157761421024,76.5514337055508,76.7579688789084,70.1758037026002,70.6935834088418,71.2337942289763,5.25629390208746,5.85206241226255,6.40934738958881
"182","Arkansas.1969.Male",67.4809791238814,67.7237223780186,67.95878001246,61.6506876621845,62.2231029203881,62.7819862664417,4.90330259278519,5.50267651051705,6.12724419934675
"183","Arkansas.1970.Female",76.4773935243403,76.6807145932808,76.8831239255815,70.4753395286477,70.9417492225043,71.4339211599042,5.19702247153074,5.73678507572573,6.28522133023882
"184","Arkansas.1970.Male",67.6050947966138,67.8359378043163,68.0494349950753,61.9276446508518,62.3970707219027,62.8809005972002,4.8837043049066,5.43889881606587,5.96788266352614
"185","Arkansas.1971.Female",76.6234449496721,76.837809560464,77.0345271257254,70.7123266417711,71.1797786126737,71.6400579544966,5.14817197628823,5.65436322364381,6.18719887485382
"186","Arkansas.1971.Male",67.709474995231,67.9171819600165,68.1261293739098,62.1834835867447,62.6603728070448,63.1137403036847,4.73551828302133,5.27146984142582,5.77807463999913
